target,source,frequency,package,count
command_node-1,command_center-1,2,9,6000
command_node-2,command_node-1,5,2,6000
equipt-9,command_node-1,6,1,6000
equipt-10,command_node-1,6,1,6000
equipt-5,command_node-2,6,1,6000
equipt-6,command_node-2,6,2,6000
command_node-1,equipt-1,9,2,6000
command_node-1,equipt-2,9,2,6000
equipt-1,equipt-3,6,1,6000
equipt-2,equipt-4,6,1,6000
equipt-1,equipt-5,6,1,6000
equipt-2,equipt-6,6,2,6000
equipt-1,equipt-7,6,3,6000
equipt-2,equipt-8,7,1,6000
equipt-3,aigc-1,2,9,6000
equipt-4,aigc-2,2,9,6000
equipt-5,aigc-3,2,8,6000
equipt-6,aigc-4,1,9,6000
equipt-7,aigc-5,2,8,6000
equipt-8,aigc-6,2,6,6000
